audit_id,level,original_vignette,patient_rewrite,answer_options,correct_letter,REVIEWER_clinical_fact_changed,REVIEWER_notes
AUD-039,b,"A 4-year-old girl is brought to the emergency department with a persistent cough, fever, and vomiting. The past year the child has been admitted to the hospital 3 times with pneumonia. For the past 1 week, the child has been experiencing thick purulent cough and says that her chest feels ‘heavy’. Her stools have been loose and foul-smelling over the past week. Her parents are also concerned that she has not gained much weight due to her frequent hospital visits. She was born at 39 weeks gestation via spontaneous vaginal delivery and is up to date on all vaccines and is meeting all developmental milestones. On physical exam, the temperature is 39.1°C (102.4°F). She appears lethargic and uncomfortable. Crackles are heard in the lower lung bases, with dullness to percussion. A small nasal polyp is also present on inspection. Which of the following is the most likely cause for the girl’s symptoms?","I brought my 4-year-old daughter to the emergency department because she's been coughing a lot, has a fever, and has been throwing up. Over the past year, she's been in the hospital three times for pneumonia. For the last week, she's had a thick, nasty cough and keeps saying her chest feels heavy. Her poop has been loose and smells really bad for about a week too. We're worried because she hasn't gained much weight with all these hospital visits. She was born at 39 weeks and came out naturally, and she's up to date on all her vaccines and is doing well with her development. When they checked her, her temperature was 39.1 degrees Celsius, which is 102.4 degrees Fahrenheit. She looked really tired and uncomfortable. They heard crackling sounds in the lower part of her lungs when they listened, and it felt dull when they tapped on her back. They also found a small polyp in her nose.","{""A"": ""Dysfunction in a transmembrane regulator"", ""B"": ""Inefficient breakdown of leucine, isoleucine, and valine"", ""C"": ""Dysfunction in the motility of respiratory cilia"", ""D"": ""Deficiency in lymphocytic activity""}",A,,
AUD-040,c,"A 30-year-old female presents to her primary care provider complaining of 4 days of fever, malaise, dyspnea, and productive cough and has recently developed pleuritic chest pain. Her past medical history is notable for asthma and takes albuterol as needed. She does not smoke but drinks alcohol socially. Her family history is notable for cystic fibrosis in her paternal uncle and interstitial lung disease in her paternal grandfather. Her temperature is 101°F (38.3°C), blood pressure is 115/75 mmHg, pulse is 110/min, and respirations are 21/min. Rales are noted in the right lower lung, and a chest radiograph demonstrates focal consolidation in the right lower lung lobe. After initiating the appropriate treatment, she agrees to take part in a study assessing the immune response to lung infections. A protein is identified in her serum that is thought to be elevated in response to her condition. An amino acid sequence at the carboxy terminus of the protein is isolated and a fluorescent marker is added to the sequence. This labeled sequence is subsequently added to a gel containing a protein isolated from the cell surface of the patient’s own neutrophils and macrophages and subsequently labeled with another fluorescent marker. The sequence binds strongly to this protein as evidenced by increased fluorescence in the gel. What process does this sequence typically undergo in immunocompetent individuals?","ive been feelin really bad for 4 days now, like i got a fever and im super tired and breathin is kinda hard and i got this cough that brings up stuff, and now i got this sharp pain in my chest when i breathe in. im 30 and a woman and i have asthma so i use this inhaler called albuterol when i need it. i dont smoke but i drink a little bit sometimes. my uncle has cystic fibrosis and my grandpa had some lung disease. they said my temp was 101 degrees and my blood pressure was 115 over 75 and my pulse was 110 and i was breathin 21 times a minute. they heard some crackling in my right lung and the X-ray showed some kinda infection in the lower part of that lung. after they started treatin me, i said yes to bein in a study about how the immune system works with lung infections. they found this protein in my blood that they think is higher because of my sickness. they took a piece of that protein and put a fluorescent marker on it, then they mixed it with another protein from my own immune cells that they also put a different marker on, and they said the two stuck together really good cause the gel got brighter. i dont really know what happens next in people who are healthy.","{""A"": ""Random assortment"", ""B"": ""Random nucleotide addition"", ""C"": ""VDJ recombination"", ""D"": ""Isotype switching""}",D,,
AUD-041,c,"A 25-year-old primigravida is admitted to the hospital at 36 weeks gestation after a generalized tonic-clonic seizure. She is conscious, but lethargic and complains of a headache that started 2 hours prior to the seizure. She denies alcohol intake or drug use. She has no history of convulsive disorders and the antepartum course has been unremarkable. She was compliant with the recommended prenatal care and her last prenatal visit was 2 weeks ago. She has gained 2 kg (4.4 lb) since her last visit. The blood pressure was 160/90 mm Hg, the heart rate was 79/min, the respiratory rate was 14/min, and the temperature was 37.0℃ (98.6℉). The physical examination shows leg and perineal edema. The neurologic examination is significant for symmetric upper and lower extremity hyperreflexia and ankle clonus. Which of the following laboratory findings would be most common in this patient?","i had a seizure and got taken to the hospital, and im 25 years old and pregnant, like 36 weeks along. it was really scary, and i was awake but felt super tired and had this awful headache that started like 2 hours before the seizure happened. i dont drink or do drugs or anything like that, and i never had seizures before this. my pregnancy has been going pretty normal, and i went to the doctor for my checkup just 2 weeks ago. they said i gained 2 kg since then, which is about 4.4 pounds. when they checked my blood pressure it was really high at 160 over 90, and my heart was beating 79 times a minute, and i was breathin 14 times a minute, and my temp was 37.0 degrees celsius, which is 98.6 degrees fahrenheit. they said my legs and down there were swollen, and when they checked my nerves they said my reflexes were way too strong in my arms and legs, and my ankles were twitching.","{""A"": ""Elevated transaminases"", ""B"": ""Leukocytosis"", ""C"": ""Hyponatremia"", ""D"": ""Proteinuria""}",D,,
AUD-042,c,"In a study, 2 groups are placed on different statin medications, statin A and statin B. Baseline LDL levels are drawn for each group and are subsequently measured every 3 months for 1 year. Average baseline LDL levels for each group were identical. The group receiving statin A exhibited an 11 mg/dL greater reduction in LDL in comparison to the statin B group. Statistical analysis reports a p-value of 0.052. Which of the following best describes the meaning of this p-value?","so there was this study with 2 groups of people, one group was on statin A and the other was on statin B, and they checked their LDL levels at the start and then every 3 months for a whole year. both groups had the same average LDL levels at first, but after a year the statin A group had 11 mg/dL lower LDL than the statin B group. they did some math stuff and got a p-value of 0.052, and that number is supposed to tell us how likely it is that the difference we saw was just random.","{""A"": ""If 100 similar experiments were conducted, 5.2 of them would show similar results"", ""B"": ""There is a 5.2% chance that A is more effective than B is due to chance"", ""C"": ""There is a 94.8% chance that the difference observed reflects a real difference"", ""D"": ""This is a statistically significant result""}",B,,
AUD-043,c,"A 45-year-old woman presents with sudden-onset dyspnea. Her past medical history is significant for varicose veins in her lower extremities, well-controlled diabetes mellitus type 2, and a 25 pack-year smoking history. The patient currently takes metformin and pioglitazone. Family history is significant for her sister who died at the age of 35 because of a pulmonary embolism. Her temperature is 37.8°C (100.0°F), the pulse is 111/min, the respirations are 18/min, and the blood pressure is 130/60 mm Hg. On physical examination, the patient is pale and diaphoretic. Cardiac exam is significant for an S3 gallop. There is erythema and swelling over multiple varicose veins in her left leg. Ultrasound of her left leg is positive for a deep vein thrombosis. The patient is admitted, and anticoagulation is started with a vitamin K inhibitor. However, despite these interventions, she dies shortly after admission. Which of the following was the most likely etiology of this patient’s condition?","i came in because all of a sudden i just couldnt breathe at all, like it hit me outta nowhere. im 45 and i got these varicose veins in my legs and i keep my type 2 diabetes under control, but i used to smoke a whole lot, like 25 packs over the years. right now im on metformin and pioglitazone. my sister died when she was 35 from something they called a pulmonary embolism, so that kinda runs in the family. when they checked me, my temp was 37.8 degrees celsius, my pulse was 111, i was breathin 18 times a minute, and my blood pressure was 130 over 60. they said i looked really pale and sweaty, and when they listened to my heart they heard this thing called an S3 gallop. my left leg was all red and swollen around the varicose veins, and they did an ultrasound and found a deep vein thrombosis. they admitted me and started me on some blood thinner, but i ended up dying not long after that.","{""A"": ""Distal peripheral microembolism"", ""B"": ""Necrotizing fasciitis"", ""C"": ""Protein S deficiency"", ""D"": ""Waldenström macroglobulinemia""}",C,,
AUD-044,b,"A 4-year-old previously healthy boy presents with 4 days of intermittent vomiting and 5-6 daily loose stools. His mother noted bloody stools and decreased oral intake of food and water over the last 24 hours. He is normally in daycare; however, he has been home for the past 3 days. On physical exam his temperature is 102.2°F (39°C), blood pressure is 140/90 mmHg, pulse is 120/min, respirations are 22/min and O2 saturation is 99% on room air. He has dry mucous membranes. On abdominal exam you note diffuse tenderness to palpation without rebound or guarding. There are no masses, hepatosplenomegaly, and bowel sounds are hyperactive. Ultrasound of the right lower quadrant is negative for appendicitis. Stool is guaiac positive. He receives 15mg/kg acetaminophen and fluids are started. The next day, he complains of lower extremity weakness and tingling. On repeat exam, lower extremity strength is 3/5 with diminished patellar deep tendon reflexes. Which of the following lab findings would most likely be seen in this patient?","My 4-year-old son, who is usually healthy, has been throwing up on and off for the last four days and has had loose stools about 5 to 6 times a day. His mother noticed that he had bloody stools and wasn't eating or drinking much at all in the last 24 hours. Normally, he goes to daycare, but he's been home for the last three days. When they checked him, his temperature was 102.2°F, his blood pressure was 140 over 90, his pulse was 120 beats per minute, he was breathing 22 times a minute, and his oxygen level was 99 percent on room air. His mouth was really dry. When they pressed on his belly, it hurt all over, but it didn't get worse when they let go, and he wasn't tensing up. They didn't find any masses or swelling in his liver or spleen, and his belly sounds were really active. They did an ultrasound of his lower right side and said there was no appendicitis. They also tested his stool and said it was positive for blood. He got 15 milligrams of acetaminophen for his fever and they started giving him fluids. The next day, he said his legs felt weak and tingly. When they checked him again, his leg strength was 3 out of 5 and his knee reflexes were not as strong as they should be. I'm his mom.","{""A"": ""Gram stain positive CSF"", ""B"": ""Peripheral eosinophilia"", ""C"": ""Xanthochromia on cerebrospinal fluid analysis"", ""D"": ""Increased cerebrospinal fluid protein with normal cell count""}",D,,
AUD-045,b,"A healthy 19-year-old man presents to his primary care provider complaining of painless “blisters” in his mouth. He reports that he noticed a white film on his tongue and the sides of his mouth 2 days ago while brushing his teeth. The film was easily brushed off. He also complains of a bitter metallic taste in his mouth but otherwise denies pain, burning, dysphagia, or hoarseness. He is otherwise healthy and takes no medications. He is a competitive swimmer and has had 8 sexual partners in the past year. He intermittently uses barrier protection. On exam, he is well-appearing and in no acute distress. His oral examination demonstrates patches of white pseudomembranes that can be wiped away to reveal erythematous mucosa. A medication with which of the following mechanisms of action is most appropriate in this patient?","I'm a 19-year-old man and I've got these painless blisters in my mouth. I first noticed a white film on my tongue and the sides of my mouth two days ago when I was brushing my teeth, and it was easy to brush off. There's also this bitter metallic taste in my mouth, but I don't have any pain, burning, trouble swallowing, or hoarseness. I'm otherwise healthy and I don't take any medications. I swim competitively and I've had 8 sexual partners in the past year, and I sometimes use protection. When the doctor checked me out, I looked fine and wasn't in any distress. They looked in my mouth and saw some white patches that could be wiped away, and underneath it was red. ","{""A"": ""Disruption of cell membrane permeability"", ""B"": ""Disruption of microtubule formation"", ""C"": ""Inhibition of 14-alpha-demethylase"", ""D"": ""Inhibition of beta-glucan synthase""}",A,,
AUD-046,b,"A researcher conducts multiple experiments to establish an infection and disease model for Clostridium perfringens in chickens. To ensure that all instruments are free of the pathogenic organism, he uses a disinfectant that oxidizes and denatures proteins. Which of the following disinfectants did the researcher most likely use?","A researcher is doing a bunch of tests to figure out how Clostridium perfringens causes infections and diseases in chickens. To make sure everything he uses is clean and doesn't have this harmful germ, he uses a disinfectant that works by breaking down proteins. I'm not sure which disinfectant he picked, but it has to be one that does that.","{""A"": ""Chlorine dioxide"", ""B"": ""Isopropyl alcohol"", ""C"": ""Povidone-iodine"", ""D"": ""Benzalkonium chloride""}",A,,
AUD-047,c,The ribosome is an essential organelle that plays an important role in the synthesis of new proteins. The location of the ribosome within the cell can vary and provides a clue to the function of the particular cell. What ribosome location is essential for protein-secreting cells?,"the ribosome is super important for makin new proteins in our bodies and where it is in the cell can be different, which kinda helps us figure out what that cell does. im wonderin which spot the ribosome needs to be in for the cells that send out proteins.","{""A"": ""Rough endoplasmic reticulum"", ""B"": ""Smooth endoplasmic reticulum"", ""C"": ""Cytosol"", ""D"": ""Nucleus""}",A,,
AUD-048,b,"A 24-year-old woman presents to her primary care physician for a wellness visit. She says that she has been generally healthy but has noticed difficulty concentrating, becoming increasingly fatigued, and a 15-pound weight increase over the course of a few months. She also reports mild constipation and joint pain. Approximately 6-months ago, she experienced palpitations, increased stool frequency, and a hand tremor. Her past medical history is significant for asthma. Her father is not living and had Parkinson disease, and her mother has poorly controlled rheumatoid arthritis. She is currently sexually active in a monogamous relationship and uses contraception consistently. She denies cigarette smoking and occasionally drinks wine. She experimented once with lysergic acid diethylamide 6 years ago. Her temperature is 99°F (37.2°C), blood pressure is 127/98 mmHg, pulse is 55/min, and respirations are 13/min. On physical exam, the patient has slow speech and movement. She has tenderness to palpation of her wrist and ankle joints. She has delayed relaxation of deep tendon reflexes. Which of the following will most likely be found in this patient?","I'm a 24-year-old woman and I came in for a wellness visit. I've generally been healthy, but I've been having trouble concentrating, feeling more tired than usual, and I've gained about 15 pounds over the last few months. I've also been dealing with mild constipation and some joint pain. About six months ago, I had some episodes where my heart was racing, I was going to the bathroom more often, and my hands were shaking a bit. I have asthma in my medical history. My dad passed away and he had Parkinson's disease, and my mom has rheumatoid arthritis that isn't well controlled. I'm currently in a monogamous relationship and I use contraception all the time. I don't smoke, and I drink wine sometimes. I tried LSD once about six years ago. My temperature was 99 degrees, my blood pressure was 127 over 98, my pulse was 55, and my breathing was 13 times a minute. When they examined me, they noticed I was speaking and moving slowly. They also found that my wrist and ankle joints were tender when they pressed on them, and my reflexes took longer to relax. ","{""A"": ""Elevated TSH"", ""B"": ""High Patient Health Questionnaire-9 (PHQ-9) score"", ""C"": ""Positive anti-CCP antibodies"", ""D"": ""Positive urine toxicology""}",A,,
AUD-049,c,"An 8-year-old boy is brought to the physician because he has excessively dry skin. His mother says that he has had dry, scaly skin since he was 6 months old. She says it is worse in winter and better in summer. There is no associated itching, redness, or discharge. Examination reveals generalized fine scales with coarse skin all over the body, except in the skin creases of the neck and in the cubital and popliteal fossae (see image). There are multiple papular elevations at the base of hair follicles and darkening of the palmar and plantar creases. Which of the following is the most likely diagnosis?","my son is 8 and we came to see the doctor cause his skin is super dry all the time. his mom said he’s had this dry and kinda scaly skin since he was 6 months old, and it gets way worse in the winter but gets a little better in the summer. there’s no itching or redness or anything like that. when the doctor checked him out, they said he had these fine scales and rough skin all over, but not in the folds of his neck or behind his knees and elbows. they also saw some bumps where his hair grows and said the lines on his hands and feet are darker than normal.","{""A"": ""Psoriasis"", ""B"": ""Lichen simplex"", ""C"": ""Ichthyosis vulgaris"", ""D"": ""Pityriasis versicolor""}",C,,
AUD-050,b,"A 56-year-old man comes to the clinic for a check-up. He presents with a 1-year history of worsening shortness of breath and weight loss. He is a former construction worker, and worked in a steel mill when he was in high school. He is an active smoker with a 36-pack-year smoking history. The blood pressure is 130/78 mm Hg, pulse rate is 90/min, respiratory rate is 17/min, and the BMI is 31 kg/m2. The patient is afebrile and the oxygen saturation at rest is 95% on room air. The pulmonary examination reveals a mildly prolonged expiratory phase, and no wheezing or crackles are auscultated. A pulmonary function test is recommended for the patient, and 2 weeks later he returns with a report that shows an FEV1/FVC ratio of 60% and FEV1 of 50% of the predicted value. The lung volumes show a total lung capacity of 110% of predicted value, a residual volume of 115% of predicted value, and a DLCO of 60% of predicted value. Which of the following is the most likely diagnosis?","I'm a 56-year-old man and I came in for a check-up. I've been having more and more trouble breathing for the past year, and I've also lost some weight. I used to work in construction and spent time in a steel mill when I was in high school. I smoke, and I've been smoking for a long time, about 36 pack-years. My blood pressure was 130 over 78, my pulse was 90 beats per minute, and I was breathing 17 times a minute. My BMI is 31. They said I didn't have a fever, and my oxygen level was 95 percent on room air. When they checked my lungs, they noticed my breathing out took a bit longer, but there were no wheezing or crackling sounds. They suggested I do a lung test, and when I came back two weeks later, the results showed my FEV1/FVC ratio was 60 percent and my FEV1 was 50 percent of what it should be. They also said my total lung capacity was 110 percent of what it should be, my residual volume was 115 percent of what it should be, and my DLCO was 60 percent of what it should be.","{""A"": ""Asbestosis"", ""B"": ""Idiopathic pulmonary fibrosis"", ""C"": ""Bronchiectasis"", ""D"": ""Chronic obstructive pulmonary disease""}",D,,
AUD-051,c,"A previously healthy 19-year-old man comes to the physician with right-sided, dull, throbbing scrotal pain for 12 hours. He has also had a burning sensation on urination and increased urinary frequency for the past 3 days. He has not had urethral discharge. He is sexually active with one female partner and does not use condoms. Vital signs are within normal limits. Physical examination shows a tender right testicle; lifting it provides relief. The penis appears normal, with no discharge at the meatus. Laboratory studies show a normal complete blood count; urinalysis shows 3 WBC/hpf. A Gram stain of a urethral swab shows polymorphonuclear leukocytes but no organisms. Testicular ultrasound shows increased blood flow to the right testicle compared to the left. Which of the following is the most likely cause of this patient's symptoms?","ive been havin this pain on the right side of my scrotum for like 12 hours now and its kinda dull and throbbing, and for the last 3 days i also been feelin this burnin when i pee and i gotta go to the bathroom way more than usual. there hasnt been any discharge from my urethra tho. im 19 and im sexually active with one girl and i dont use condoms. they said my vital signs were all normal. when the doctor checked me out, he said my right testicle was tender and that lifting it made it feel better, and my penis looked normal with no discharge at the tip. they did some blood tests and said my complete blood count was normal, but my pee test showed 3 white blood cells in it. they also did this test on a swab from my urethra and saw some white blood cells but no germs, and then they did an ultrasound and said there was more blood flow to my right testicle than the left.","{""A"": ""Neisseria gonorrhoeae infection"", ""B"": ""Testicular tumor"", ""C"": ""Chlamydia trachomatis infection"", ""D"": ""Varicocele""}",C,,
AUD-052,c,A 34-year-old man comes to the physician with a 2-month history of difficulty concentrating at work. He is worried he may lose his job due to poor performance. He feels constantly tired but attributes his fatigue to waking up early most mornings and being unable to fall back asleep. His wife has noticed that he has been speaking more slowly than usual and his appetite has decreased. He used to enjoy dance classes with her but has not been as interested in this recently. He is a veteran who returned from a deployment to Afghanistan 2 years ago. Which of the following is the most likely diagnosis?,for about 2 months now i been havin a really hard time focusin at work and its got me worried that im gonna lose my job cause im not doin good. im always feelin tired but i think its cause i wake up early most mornings and then i cant go back to sleep. my wife says i been talkin slower than i used to and i dont eat as much as i did before. i used to really like goin to dance classes with her but now i just dont care about it like i used to. im a 34 year old man and i came back from Afghanistan 2 years ago after bein in the military.,"{""A"": ""Major depressive disorder"", ""B"": ""Adjustment disorder"", ""C"": ""Acute stress disorder"", ""D"": ""Post traumatic stress disorder""}",A,,
AUD-053,b,A 24-year-old woman comes to the physician because she had unprotected intercourse with her boyfriend the previous day. She has had regular menses since menarche at the age of 12. Her last menstrual period was 3 weeks ago. She has no history of serious illness but is allergic to certain jewelry and metal alloys. She takes no medications. A urine pregnancy test is negative. She does not wish to become pregnant until she finishes college in six months. Which of the following is the most appropriate next step in management?,"I'm a 24-year-old woman and I came to see the doctor because I had unprotected sex with my boyfriend yesterday. I've been having regular periods since I started when I was 12, and my last period was about three weeks ago. I don't have any serious health issues, but I am allergic to some jewelry and metal. I don't take any medications. They did a urine pregnancy test and it came back negative. I really don't want to get pregnant until after I finish college in six months.","{""A"": ""Insert copper-containing intra-uterine device"", ""B"": ""Administer mifepristone"", ""C"": ""Administer ulipristal acetate"", ""D"": ""Administer depot medroxyprogesterone acetate""}",C,,
AUD-054,c,"Public health researchers are reviewing data from an outbreak of hepatitis A that was traced to contaminated produce from a popular restaurant. A case series investigation with prospective and retrospective follow-up found that 500 individuals dined at the restaurant during the week of study. The incidence of hepatitis A infection was found to be 25%, and the total number of deaths recorded among the incident cases was 5 individuals. What was the case-fatality rate for the hepatitis A outbreak?","there was this big problem with hepatitis A that came from some food at a restaurant that a lot of people like. they looked at the numbers and found out that 500 people ate there that week, and out of those, 25 percent got sick with hepatitis A. it was really sad because 5 of those people ended up dying. now they are trying to see what the case-fatality rate is for this whole hepatitis A thing.","{""A"": ""4%"", ""B"": ""10%"", ""C"": ""20%"", ""D"": ""25%""}",A,,
AUD-055,b,"During a Mycobacterium tuberculosis infection, Th1 cells secrete a factor capable of stimulating phagosome-lysosome fusion within macrophages. In addition, the secreted factors help activate macrophages to produce mediators such as NO, which are capable of destroying the invading pathogen. Furthermore, activation of the macrophages by the secreted factor eventually leads to the formation of a tubercle. Which of the following factors is secreted by Th1 cells and responsible for these actions?","I'm not sure about all the details, but I know that when someone has a tuberculosis infection, certain immune cells called Th1 cells release something that helps other cells called macrophages work better. This stuff they release helps the macrophages combine parts of the cell that can destroy the bacteria. It also makes the macrophages produce things like nitric oxide, which can kill the germs. Eventually, this whole process leads to the formation of a lump called a tubercle. I just want to know what exactly Th1 cells are releasing that does all this.","{""A"": ""IL-4"", ""B"": ""TNF-alpha"", ""C"": ""IFN-gamma"", ""D"": ""Histamine""}",C,,
AUD-056,b,"A 4-year-old boy is brought to his primary care physician for a physical prior to beginning a preschool program. He is found to be delayed in reaching normal childhood cognitive and social milestones, which is consistent with observations at previous check-ups. Physically, he is also found to be significantly overweight with hypogonadism. Notably, the boy was limp when he was born and did not have a normal motor response to stimuli. Elevated levels of a gastrointestinal hormone are associated with the cause of this patient's weight gain. The hormone that is most responsible for causing the weight gain is produced in which of the following cell types?","I brought my 4-year-old son in for a check-up because he’s starting preschool soon. The doctor said he’s behind in his thinking and social skills, which is what they’ve noticed before too. They also said he’s really overweight and has some issues with his hormones. When he was born, he was really floppy and didn’t move like a normal baby should. They mentioned something about a hormone in his stomach that’s linked to why he’s gaining so much weight. I’m just trying to understand what all this means for him.","{""A"": ""D cells"", ""B"": ""G cells"", ""C"": ""P/D1 cells"", ""D"": ""L cells""}",C,,
AUD-057,c,"A 32-year-old man jumps off a 3 story building during a suicide attempt. Paramedics arrive quickly, and he is taken to the hospital where several stable lumbar fractures and a shattered right calcaneus are found. He undergoes surgery and his calcaneus is repaired with 11 screws. Which of the following statements best describes the long term post-surgery outcome in this patient?","i jumped off a 3 story building, im 32 and a man, and it was a really bad time for me. the paramedics came really quick and took me to the hospital where they said i had some broken bones in my lower back that were stable, but my right heel was all messed up. they did surgery on it and put in 11 screws to fix it up.","{""A"": ""He will not be able to plantar flex his foot."", ""B"": ""He will not be able to point his toe."", ""C"": ""He will have pain with inversion and eversion of his foot."", ""D"": ""He will have pain while dorsiflexing his foot.""}",C,,
AUD-058,b,"A 55-year-old caucasian male is transferred to a tertiary care hospital from a small county hospital where he presented with jaundice and severe abdominal pain that radiates to the back. While in the county hospital, he did not develop fever, and his vital signs were stable for the 48 hours he spent at there. Initial laboratory tests are given below:
Total bilirubin 7 mg/dL
Direct bilirubin 6.4 mg/dL
AST 100
ALT 40
Alkaline phosphatase 480 IU/L
Glucose 160 mg/dL
The patient’s medical history is relevant for hypertension and diabetes mellitus. He admits to smoking cigarettes since his early teenage years. Moderate icterus is evident during physical examination, the abdomen is distended and dull to percussion, and there is periumbilical tenderness. Which of the following markers would you expect to be elevated in this patient?","I was transferred to a bigger hospital from a small county hospital because I'm a 55-year-old man and I had jaundice and really bad stomach pain that goes to my back. While I was at the county hospital for 48 hours, I didn't have a fever and my vital signs were stable. They did some lab tests and my total bilirubin was 7, my direct bilirubin was 6.4, my AST was 100, my ALT was 40, my alkaline phosphatase was 480, and my glucose was 160. I have a history of high blood pressure and diabetes, and I've been smoking since I was a teenager. When they examined me, they noticed I had moderate yellowing of my skin and my belly was swollen and felt dull when they tapped on it, plus it hurt when they pressed around my belly button.","{""A"": ""CA 125"", ""B"": ""Desmin"", ""C"": ""CA 27-29"", ""D"": ""CA 19-9""}",D,,
AUD-059,b,A 2-year-old girl with recurrent urinary tract infections is brought to the physician for a follow-up examination. Renal ultrasound shows bilateral dilation of the renal pelvis. A voiding cystourethrography shows retrograde flow of contrast into the ureters during micturition. Histologic examination of a kidney biopsy specimen is most likely to show which of the following findings?,"I brought my 2-year-old daughter in for a follow-up because she keeps getting urinary tract infections. They did an ultrasound on her kidneys and found that both sides were swollen in the area where the urine collects. Then they did another test where they looked at how the urine flows, and they said that the contrast they used went back up into the tubes that lead from her kidneys during peeing. I'm really concerned about what they might find in the kidney biopsy they took.","{""A"": ""Glomerular crescents with macrophages"", ""B"": ""Matrix expansion with mesangial proliferation"", ""C"": ""Cortical thinning with tubular atrophy"", ""D"": ""Thickened glomerular capillary loops""}",C,,
AUD-060,c,"A 51-year-old man presents the emergency room with chest pain. He mentions that the pain started several hours ago and radiates to his left neck and shoulder. He also mentions that he has some difficulty in breathing. He says that he has had similar chest pains before, but nothing seemed to be wrong at that time. He was diagnosed with high cholesterol during that episode and was prescribed medication. He also has a 3-year history of gastritis. The blood pressure is 130/80 mm Hg, respirations are 18/min, and the pulse is 110/min. He seems a little anxious. The physical examination reveals no significant abnormalities. An ECG shows slight changes in the leads. His physician talks to him about the benefits of taking low-dose aspirin daily. Which of the following would be a contraindication to the use of aspirin in this patient?","i went to the emergency room cause my chest has been hurtin and it started a few hours ago and it kinda goes up to my left neck and shoulder, and on top of that im havin some trouble breathin too. i had this kinda chest pain before but they said nothin was wrong then, they just told me i had high cholesterol and gave me some meds for that. also i got gastritis for like 3 years now. they said my blood pressure was 130 over 80 and my breathin was 18 times a minute and my pulse was 110, and honestly i feel a little anxious. they checked me out and said there was nothin really wrong, but the ECG showed some slight changes in the leads. my doctor talked to me about takin low-dose aspirin every day, and im a 51 year old man.","{""A"": ""ECG changes"", ""B"": ""Hypercholesterolemia"", ""C"": ""Gastritis"", ""D"": ""Increased pulse rate""}",C,,
AUD-061,b,"A 24-year-old woman presents to the emergency department with a 2-week history of a foot ulcer. She says that she punctured her foot with a rusty nail while she was playing tennis and that the puncture wound has since progressed to a non-healing ulcer. Over the last 2 days, she has also been experiencing a fever and drainage from the wound. On presentation, she is found to have a slightly fruity smelling red ulcer with purulent drainage. Probing the ulcer goes all the way down to bone. Which of the following characteristics is true of the most likely cause of this patient's symptoms?","I'm a 24-year-old woman and I've had this ulcer on my foot for two weeks now. I accidentally punctured it with a rusty nail while I was playing tennis, and it hasn't healed at all since then. For the last two days, I've also had a fever and there's been some drainage from the wound. When I got to the emergency department, they found that the ulcer was red and had a slightly fruity smell, plus it was draining pus. They probed the ulcer and said it went all the way down to the bone.","{""A"": ""Gram-negative bacilli"", ""B"": ""Gram-negative diplococci"", ""C"": ""Gram-positive cocci in chains"", ""D"": ""Gram-positive cocci in clusters""}",A,,
AUD-062,c,"A 7-year-old boy is brought to his pediatrician’s office for a follow-up visit. He was diagnosed with asthma when he was 3 years old and has since been on treatment for the condition. He is currently on a β-agonist inhaler because of exacerbation of his symptoms. He has observed that his symptoms are more prominent in springtime, especially when the new flowers are blooming. His mother has a backyard garden and whenever he goes out to play there, he experiences chest tightness with associated shortness of breath. He has been advised to take more precaution during this seasonal change and to stay away from pollen. He is also being considered for an experimental therapy, which attenuates the activity of certain mediators which cause his asthmatic attack. The targeted mediator favors the class switching of antibodies. A reduction in this mechanism will eventually reduce the exaggerated response observed during his asthmatic attacks, even when exposed to an allergen. Which of the following mediators is described in this experimental study?","my son is 7 and we just went to see his doctor for a checkup. he got diagnosed with asthma when he was 3 and he has been on meds for it ever since. right now he uses this inhaler thing because his symptoms have been acting up. he said that in the springtime when the flowers start blooming, he really feels it more. when he goes out to play in the backyard, he gets this tight feeling in his chest and has a hard time breathin. the doctor told us to be careful during this time and to stay away from pollen. they are also thinkin about this new treatment that might help him by lowering some stuff in his body that makes his asthma worse. it should help him not react so much when he comes across things that make him have an attack. im his mom.","{""A"": ""IL-2"", ""B"": ""IL-10"", ""C"": ""IL-13"", ""D"": ""IL-4""}",D,,
AUD-063,b,"A healthy 21-year-old man undergoes physical fitness testing prior to long-term submarine deployment. To evaluate his pulmonary function, lung and thoracic compliance are measured at different system pressures. A graph of the relationship between his lung volume and transpulmonary pressure is shown. The dotted line in this graph corresponds to which of the following lung volumes?","I'm a 21-year-old man and I had to do some physical fitness tests before going on a long submarine deployment. They were checking how well my lungs work by measuring how they expand and contract at different pressures. They showed me a graph that had my lung volume and some pressure numbers on it, but I don't really know what the dotted line on that graph means or which lung volume it corresponds to.","{""A"": ""Inspiratory capacity"", ""B"": ""Tidal volume"", ""C"": ""Functional residual capacity"", ""D"": ""Total lung capacity""}",C,,
